Molecule,Type,Beads,ep/k_b (K),sigma (A),lamda_r
Methane,1,1,170.75,3.752,16.39
Ethane,2,1,330.25,4.349,27.3
Propane,3,1,426.08,4.871,34.29
Butane,4,2,256.36,3.961,13.29
Pentane,5,2,317.5,4.248,16.06
Hexane,6,2,376.35,4.508,19.57
Heptane,7,2,436.13,4.766,23.81
Octane,8,3,333.7,4.227,16.14
Decane,9,3,415.19,4.584,20.92
Tetradecane,10,5,363.06,4.183,17.66
