Molecule,Type,Beads,ep/k_b (K),sigma (A),lamda_r
Methane,8,1,170.75,3.752,16.39
Ethane,9,1,330.25,4.349,27.3
Propane,10,1,426.08,4.871,34.29
Butane,1,2,256.36,3.961,13.29
Pentane,2,2,317.5,4.248,16.06
Hexane,3,2,376.35,4.508,19.57
Heptane,4,2,436.13,4.766,23.81
Octane,5,3,333.7,4.227,16.14
Decane,6,3,415.19,4.584,20.92
Tetradecane,7,5,363.06,4.183,17.66
Graphene,11,1,,3.4,0
