step temp press pressGiga vol ke pe density
250000 2993.8331632673930471 797029.4078444641782 79.7029407844464 19119.745733175939677 792.1548330926223116 -7238.306987216032212 10.482272578019495413
251000 3121.6044585878798898 800356.23950040317141 80.0356239500403 19123.669561060938577 825.96254501206851728 -7220.4719326829981583 10.480121807043849103
252000 3033.8906138870447649 822038.42019656067714 82.2038420196561 19027.010939673880785 802.75385494162037503 -7179.5007268126355484 10.53336160014897871
253000 3079.940493505131144 800095.5501990908524 80.0095550199091 19156.297034348408488 814.93844663843640319 -7194.1050017525376461 10.462271807448642491
254000 3075.3754317015113884 794563.05456463026349 79.456305456463 19132.552336437478516 813.73055175121521643 -7245.8249604506654578 10.475256143211142401
255000 3080.1975849117166035 795741.53882145520765 79.5741538821455 19136.435639045608696 815.00647187203060184 -7233.6555682849275399 10.473130429192657687
256000 3092.2074319187331639 780899.61278626020066 78.089961278626 19161.542268992099707 818.18422354772121707 -7289.1288066428614911 10.459407890245854489
257000 3007.725408052124294 798766.55368005100172 79.8766553680051 19122.874755445223855 795.83065878115871783 -7225.8845569232171329 10.480557393208174588
258000 3105.5125623895182798 813159.15243718214333 81.3159152437182 19059.304320860341249 821.70470142092960941 -7205.5616816651800036 10.515514261358331893
259000 3158.5056157769226957 808211.234178945655 80.8211234178946 19077.493890924830339 835.72642576957480287 -7221.5064029639834189 10.505488170692823147
260000 3012.8973439335809417 794424.99831372802146 79.4424998313728 19116.696924858366401 797.19912982864673268 -7255.1498187831930409 10.483944333341481681
261000 3130.3059139300212337 789645.25159500830341 78.9645251595008 19149.323570270393247 828.26491108536504271 -7262.3918373370433983 10.466081773704420499
262000 3162.718023549073223 802238.96603460994083 80.223896603461 19104.214116671428201 836.84100998108249314 -7235.3194520709130302 10.49079460550428422
263000 3136.188747855985639 811410.58554118010215 81.141058554118 19052.966680392626586 829.82148256834238964 -7221.3355547457294961 10.51901206565514002
264000 3189.1538321144407746 792614.05091621237807 79.2614050916212 19136.712738964382879 843.8358064108583676 -7262.2031242642506186 10.472978778089835572
265000 3047.1424510289280079 791127.17175353586208 79.1127171753536 19143.343008832911437 806.26023163892512002 -7252.4375487048782816 10.469351476651729271
266000 3159.2775975606759857 801639.97899207507726 80.1639978992075 19117.840356218737725 835.93068868861882947 -7223.2699056985393327 10.483317292289367373
267000 2947.7618237925089488 814323.54207580001093 81.43235420758 19042.364222926138609 779.96456321390598987 -7200.2794999446268776 10.524868868765823393
268000 3136.6528262115707548 787971.76119219884276 78.7971761192199 19146.820347846849472 829.94427562068108273 -7267.3397036178084818 10.467450091268725387
269000 3023.1469142859223211 776376.76406033185776 77.6376764060332 19216.31703567914883 799.91112019315630732 -7270.7380057771088104 10.429594080148467228
270000 3068.633769850121098 807018.45318061613943 80.7018453180616 19056.968720167915308 811.94673824945471097 -7244.3752524699530113 10.516803030981176192
271000 3028.1848241131633586 816165.03413679182995 81.6165034136792 19035.61777671634627 801.24412854756246816 -7204.2887107286660466 10.528599005739632588
272000 3085.3739032533562749 805183.92045253748074 80.5183920452537 19098.349711849510641 816.37610249883573488 -7211.5789932110737936 10.494015944907870264
273000 3042.5388583720723545 795793.46944421867374 79.5793469444219 19123.119058802716609 805.04214166067868064 -7245.386188992893949 10.480423501066852054
274000 3037.3007903683592303 795103.57122078363318 79.5103571220784 19130.526597878997563 803.65617235012416586 -7238.36907284179415 10.476365371970251417
275000 3078.7832345242682095 801225.95968490571249 80.1225959684906 19116.734556786614121 814.6322411003062598 -7223.2730255763781315 10.483923695348119409
276000 3185.1242854201159389 800231.388599449303 80.0231388599449 19122.577325178659521 842.76960642074323005 -7228.5629400170128065 10.480720406536670808
277000 3136.1187226444080807 814689.79688695515506 81.4689796886955 19073.731008491697139 829.80295421129494571 -7193.1677675179344078 10.507560702641155714
278000 3089.6530920589120797 802325.82017433305737 80.2325820174333 19094.378720980042999 817.50835667239073246 -7232.331596657188129 10.496198348541433631
279000 3072.8731148122756167 785713.925299266004 78.5713925299266 19168.990081790245313 813.06844992067306066 -7255.4207106883604865 10.45534405007411749
280000 3106.8289452486260416 792988.73305338714272 79.2988733053387 19139.347489412029972 822.05301042386167865 -7250.3551055398256722 10.471537052579652283
281000 3203.7295655271732358 806185.12531200039666 80.6185125312 19109.679811266516481 847.69248012615798871 -7211.9533659217631794 10.48779405918745411
282000 3122.9498658204865933 807703.94975976354908 80.7703949759764 19093.35836089685472 826.31853373410672248 -7211.2776209706034933 10.496759271435019301
283000 3020.8618583931838657 800899.80096232320648 80.0899800962323 19093.782564507087955 799.30650464826601365 -7238.8388476886066201 10.496526066559891177
284000 3096.8098439270120252 785202.62015849584714 78.5202620158496 19168.6943185624732 819.40200113164735285 -7270.9846237492511136 10.45550537072811359
285000 3082.5028201295322106 796358.0543782459572 79.6358054378246 19110.616643863017089 815.61642677586871741 -7253.518136789167329 10.487279930966312946
286000 3038.3016777491998255 802024.68225696042646 80.202468225696 19078.25661771855448 803.92100266393129004 -7240.6366323221091079 10.505068173338269588
287000 3147.8053060726615513 805930.8067489375826 80.5930806748938 19086.48285736667458 832.89517179329527607 -7230.4336492661968805 10.500540507923981082
288000 3169.6226084207100939 799297.52565366646741 79.9297525653666 19090.74070565267175 838.66793218358634476 -7257.1839878564305764 10.498198550160630305
289000 3130.4800173577191345 773946.2503460587468 77.3946250346059 19241.06729053523668 828.31097807179594383 -7269.8240925904337928 10.416178238520171107
290000 3116.063434430133384 791765.82440131425392 79.1765824401314 19158.863334578934882 824.49641486136511048 -7237.609050126207876 10.460870402256571055
