2.87977 -0.0570149093379545
2.88977 -0.235958670456936
2.89977 -0.410145120276415
2.90977 -0.579543240419355
2.91977 -0.74413771303249
2.92977 -0.903925511647533
2.93977 -1.0589137023583
2.94977 -1.20911857874482
2.95977 -1.35456568730184
2.96977 -1.49529024813499
2.97977 -1.63133754694499
2.98977 -1.76276141529134
2.99977 -1.88962290225127
3.00977 -2.01198947541141
3.01977 -2.12993379479916
3.02977 -2.24353334614678
3.03977 -2.3528695069819
3.04977 -2.45802711303998
3.05977 -2.559094036386
3.06977 -2.6561605524874
3.07977 -2.74931888004615
3.08977 -2.83866200832323
3.09977 -2.92428377099655
3.10977 -3.00627902787177
3.11977 -3.08474369943925
3.12977 -3.15977498258558
3.13977 -3.23147118779967
3.14977 -3.29993184466672
3.15977 -3.36525749941148
3.16977 -3.42754957314215
3.17977 -3.4869102280664
3.18977 -3.54344204194852
3.19977 -3.59724785749705
3.20977 -3.64843040131242
3.21977 -3.69709198704503
3.22977 -3.74333410467298
3.23977 -3.7872569056485
3.24977 -3.82895886975912
3.25977 -3.86853625376465
3.26977 -3.90608277565827
3.27977 -3.9416892098873
3.28977 -3.97544302231345
3.29977 -4.0074280657483
3.30977 -4.03772417286967
3.31977 -4.06640694041657
3.32977 -4.0935473759878
3.33977 -4.119211703148
3.34977 -4.14346116824383
3.35977 -4.16635186814367
3.36977 -4.18793471731902
3.37977 -4.20825538350362
3.38977 -4.2273543834972
3.39977 -4.2452671828024
3.40977 -4.2620243940197
3.41977 -4.27765206142385
3.42977 -4.29217185682735
3.43977 -4.30560137316262
3.44977 -4.31795452974235
3.45977 -4.32924205175935
3.46977 -4.33947201228727
3.47977 -4.34865037337205
3.48977 -4.35678185377605
3.49977 -4.36387079388493
3.50977 -4.36992133056968
3.51977 -4.37493780880685
3.52977 -4.37892519802685
3.53977 -4.38188951393215
3.54977 -4.38383814699008
3.55977 -4.3847801650238
3.56977 -4.3847264264815
3.57977 -4.3836894499834
3.58977 -4.3816834737551
3.59977 -4.37872452662515
3.60977 -4.37483048803225
3.61977 -4.37002105701952
3.62977 -4.3643177039565
3.63977 -4.35774354828658
3.64977 -4.350323187578
3.65977 -4.34208243260263
3.66977 -4.3330480969145
3.67977 -4.32324781617645
3.68977 -4.3127098457527
3.69977 -4.30146287466745
3.70977 -4.28953581609135
3.71977 -4.2769576335071
3.72977 -4.26375715721935
3.73977 -4.24996292180043
3.74977 -4.23560299024463
3.75977 -4.22070482146222
3.76977 -4.20529519978153
3.77977 -4.18940019340195
3.78977 -4.17304508660875
3.79977 -4.15625431697253
3.80977 -4.1390514314948
3.81977 -4.12145904412442
3.82977 -4.1034988195882
3.83977 -4.08519145474905
3.84977 -4.06655667030803
3.85977 -4.04761320138257
3.86977 -4.0283788019665
