# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 0.0 
2.25 0.0637457718 
2.35 1.36514928 
2.45 5.7154628521 
2.55 6.8021864631 
2.65 2.6271658598 
2.75 0.4409761495 
2.85 0.0297999058 
2.95 0.0010301484 
3.05 0.0 
3.15 0.0 
3.25 0.0475305068 
3.35 0.29397565 
3.45 0.854894786 
3.55 1.4725509325 
3.65 1.1184164036 
3.75 0.3965404693 
3.85 0.071975798 
3.95 0.0109174602 
4.05 0.0634032151 
4.15 0.577818143 
4.25 2.3452509406 
4.35 4.0675046889 
4.45 3.1166495159 
4.55 1.0246130147 
4.65 0.1571455072 
4.75 0.0496697708 
4.85 0.3132985299 
4.95 1.0965968074 
5.05 1.5619415151 
5.15 0.9481786333 
5.25 0.2664020527 
5.35 0.1628802914 
5.45 0.6275303033 
5.55 1.7411416139 
5.65 2.3074781652 
5.75 1.4691893361 
5.85 0.461865377 
5.95 0.1643561445 
6.05 0.3541873601 
6.15 0.6660884791 
6.25 0.5428092599 
6.35 0.2728183255 
6.45 0.5372538697 
6.55 1.9240329702 
6.65 3.3135404871 
6.75 2.7066400776 
6.85 1.0440161985 
6.95 0.2992080943 
7.05 0.2965525754 
7.15 0.3574130611 
7.25 0.2689887998 
7.35 0.4354796403 
7.45 1.1885737094 
7.55 1.8767153003 
7.65 1.5379662391 
7.75 0.7627757399 
7.85 0.7664538005 
7.95 1.1164008311 
8.05 0.9626590126 
8.15 0.5791929284 
8.25 0.7317390818 
8.35 1.0782273095 
8.45 0.8758124765 
8.55 0.5633063767 
8.65 0.7800623894 
8.75 1.0119960822 
8.85 0.9425515301 
8.95 1.4153167524 
9.05 2.4809635663 
9.15 2.3785210731 
9.25 1.1287403535 
9.35 0.2748481606 
9.45 0.0774055518 
9.55 0.283314412 
9.65 0.9246535483 
9.75 1.4803395894 
9.85 1.2427941625 
9.95 0.6874396483 
