# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0383088551 
2.15 0.3441899286 
2.25 1.212223139 
2.35 2.4557595813 
2.45 3.3086441092 
2.55 3.1547614153 
2.65 2.7121448001 
2.75 1.8797995182 
2.85 1.0774119288 
2.95 0.7041460485 
3.05 0.3919820958 
3.15 0.3016293412 
3.25 0.2950115344 
3.35 0.4101648979 
3.45 0.5267850931 
3.55 0.6328062381 
3.65 0.668280891 
3.75 0.6007871935 
3.85 0.5501756429 
3.95 0.6088742807 
4.05 0.7893697639 
4.15 1.0432639653 
4.25 1.4362770428 
4.35 1.7198857514 
4.45 1.7888642605 
4.55 1.6658062504 
4.65 1.3588240758 
4.75 1.0914759519 
4.85 0.9305616823 
4.95 0.8496627972 
5.05 0.8193182784 
5.15 0.8685194529 
5.25 0.8268142798 
5.35 0.8140648102 
5.45 0.8727978974 
5.55 0.9670902774 
5.65 1.0402740427 
5.75 1.035059722 
5.85 1.0074492067 
5.95 0.8794266714 
6.05 0.7517433289 
6.15 0.6971937957 
6.25 0.7063423859 
6.35 0.7996081433 
6.45 0.965343354 
6.55 1.2171414139 
6.65 1.38685923 
6.75 1.5084324555 
6.85 1.4770264822 
6.95 1.3383497954 
7.05 1.0776833587 
7.15 0.8891513044 
7.25 0.7350466282 
7.35 0.7311369967 
7.45 0.797993804 
7.55 0.8992938399 
7.65 0.9966776351 
7.75 1.0450850205 
7.85 1.0610522479 
7.95 1.0184916424 
8.05 0.9684967527 
8.15 0.904805107 
8.25 0.8882919224 
8.35 0.8698601652 
8.45 0.855628636 
8.55 0.879266968 
8.65 0.921844578 
8.75 0.9435762395 
8.85 1.0537088672 
8.95 1.1752660336 
9.05 1.2894882023 
9.15 1.3460820613 
9.25 1.3299766469 
9.35 1.2216119486 
9.45 1.1116783151 
9.55 0.9406276467 
9.65 0.8358949601 
9.75 0.8172422473 
9.85 0.8086406197 
9.95 0.8486290331 
