# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0104894397 
2.05 0.1494869927 
2.15 0.6083459055 
2.25 1.6881109624 
2.35 2.3962181674 
2.45 2.7561992823 
2.55 2.4752792606 
2.65 2.0236167747 
2.75 1.6206727468 
2.85 1.244974247 
2.95 0.9522962936 
3.05 0.706485935 
3.15 0.6583250904 
3.25 0.594834641 
3.35 0.5722959771 
3.45 0.5848486806 
3.55 0.5325818096 
3.65 0.6078547616 
3.75 0.6666475238 
3.85 0.713208775 
3.95 0.8456665355 
4.05 0.9552141827 
4.15 1.0162875407 
4.25 1.1468200776 
4.35 1.2327904735 
4.45 1.2913275319 
4.55 1.3141979301 
4.65 1.2956442839 
4.75 1.2783557129 
4.85 1.2232173773 
4.95 1.1063205301 
5.05 1.0449516448 
5.15 1.0122869534 
5.25 0.9219861004 
5.35 0.8759952526 
5.45 0.8095593794 
5.55 0.774821513 
5.65 0.8360544518 
5.75 0.8171824986 
5.85 0.8460215311 
5.95 0.9014933171 
6.05 0.9528656754 
6.15 1.0004472937 
6.25 1.0325201474 
6.35 1.0455203956 
6.45 1.1138014126 
6.55 1.1335204213 
6.65 1.122916179 
6.75 1.1417704037 
6.85 1.0895481643 
6.95 1.0904248824 
7.05 1.0436575655 
7.15 0.9877463918 
7.25 0.9868715809 
7.35 0.9799552054 
7.45 0.9259718065 
7.55 0.9379987126 
7.65 0.914659034 
7.75 0.9187723715 
7.85 0.9473054262 
7.95 0.93214543 
8.05 0.9429902929 
8.15 0.9758488581 
8.25 1.0088983634 
8.35 1.0305100933 
8.45 1.0372731727 
8.55 1.0398925136 
8.65 1.0315837259 
8.75 1.0407065202 
8.85 1.0708037358 
8.95 1.0441453451 
9.05 1.0339843156 
9.15 1.0262790377 
9.25 1.0133014678 
9.35 0.9900314061 
9.45 0.9980037607 
9.55 0.9813683358 
9.65 0.9661684622 
9.75 0.9353302846 
9.85 0.9657779388 
9.95 0.9807150187 
