step temp press vol ke pe density
150000 2184.3711068793536469 -1994.2419583624593997 17811.630335207333701 387.10476475838805754 -5346.0067461774542608 7.5380332217283188001
151000 2111.6144025989347028 7486.6708098780472938 17747.780755920543015 374.21113747758062118 -5336.2316598765137314 7.5651521193796007481
152000 2122.9690984637031761 -1284.4560277872578808 17765.744628662374453 376.22336738567236125 -5350.6123225474166247 7.5575025987551809337
153000 2230.1255384239557316 -4148.2794239689274036 17853.818637466130895 395.21316648735546551 -5340.5174753284718463 7.5202209637205124082
154000 2187.013256435691801 1135.3601451324057052 17834.592623441531032 387.57299503264943041 -5334.9820874390652534 7.5283278981915886519
155000 2173.1729999510807829 -7329.0861699844099348 17911.528178620857943 385.12028486183731957 -5338.6349834683769586 7.495991400677618266
156000 2252.5172646260843976 4205.4580751799257996 17798.755854477294633 399.18133099782289719 -5334.2560915528156329 7.5434857524697367381
157000 2151.1773617058279342 2336.1142383282608535 17681.797994209562603 381.22231333958831101 -5363.8574128012987785 7.5933828247503898368
158000 2315.0049881436557371 -446.72687258146441991 17834.17077488236464 410.25513408758916967 -5340.5943966873728641 7.528505972872877372
159000 2194.5430401082649041 -1519.9143879845630636 17821.199010025349708 388.90739060676827421 -5345.9817568721873613 7.5339858515920248294
160000 2167.3476577695887499 2689.4446656830195934 17860.391339641479135 384.08794300943787903 -5318.0578604641368656 7.5174534894951499098
161000 2179.6586931529786852 -7020.3310446183177191 17939.129413793780259 386.26965125535389234 -5327.6120698560553137 7.4844580304269294757
162000 2220.9519315872980769 -2864.7443174597315192 17828.613474903613678 393.58745970827078509 -5349.4297776924559003 7.5308526593463911425
163000 2157.5745153498455693 -1876.8545496907916004 17992.835886201839457 382.35598913702574464 -5302.6733290232241416 7.4621178145075113264
164000 2201.5466056116965774 -2158.6113729411326858 17850.373044294607098 390.14853208137287766 -5337.9270812336499148 7.52167256486837843
165000 2211.8463913108098495 6198.2979508942062239 17706.024218049358751 391.97381538948854995 -5347.2467217023731791 7.5829931974829571928
166000 2144.7891238026932115 2135.7666042176460905 17783.779682513300941 380.09021755104515705 -5340.1851049914166651 7.5498383131657069711
167000 2201.3550905009710732 -13410.52131564080446 18036.33238585880099 390.11459260485651157 -5323.2606046158034587 7.4441221378912709739
168000 2190.4263940058326625 -3792.2648930777791065 17783.936707335513347 388.17785645569989583 -5358.1755404021869253 7.5497716512090002894
169000 2242.9831440386933537 -7040.2112700957541165 17891.467623417189316 397.49173553689746541 -5337.3704593394586482 7.5043961750910206376
170000 2231.9089348549277929 -1867.3967114611218676 17868.52837604265369 395.52921226076279027 -5333.1350726649561693 7.5140301637796325096
171000 2191.272130120800739 1221.5056104502832568 17909.314957256472553 388.32773413848065047 -5315.2105751645340206 7.4969177503651867056
