step	temp	press	pressGiga	vol	ke	pe	density(1600)
69000	1574.742756	17445.31147	1.744531147	20494.03373	351.5334007	-7193.081804	8.251328937
70000	1627.220839	18003.26282	1.800326282	20420.16034	363.2482023	-7218.393805	8.281179515
71000	1587.192279	14866.16084	1.486616084	20455.06277	354.3125361	-7214.013981	8.267049356
72000	1581.311934	8744.211439	0.874421144	20574.0501	352.9998533	-7199.366538	8.219237959
73000	1597.075203	15873.88653	1.587388653	20466.66297	356.5187237	-7204.695626	8.262363715
74000	1627.061108	14777.62976	1.477762976	20508.50584	363.2125453	-7199.660299	8.24550627
75000	1627.715192	14312.06782	1.431206782	20522.54845	363.3585579	-7198.224311	8.239864261
76000	1613.706568	11949.32894	1.194932894	20543.17782	360.2313809	-7195.994026	8.231589823
77000	1579.513741	15717.70891	1.571770891	20453.6912	352.5984386	-7214.172101	8.267603723
78000	1575.728796	14734.44764	1.473444764	20492.40684	351.7535166	-7203.39476	8.251984006
79000	1623.995593	9045.933109	0.904593311	20573.4137	362.5282233	-7200.132975	8.219492204
80000	1650.322052	15353.58597	1.535358597	20499.99107	368.4051385	-7201.612775	8.248931081
81000	1614.047026	15727.24879	1.572724879	20487.46195	360.3073821	-7203.930742	8.253975722
82000	1572.134166	11964.19516	1.196419516	20475.16105	350.9510793	-7220.705418	8.258934476
83000	1573.560642	20367.54879	2.036754879	20421.48878	351.2695148	-7204.843828	8.280640816
84000	1623.452575	10055.08399	1.005508399	20543.37221	362.4070043	-7206.494379	8.231511933
85000	1583.04368	17867.0509	1.78670509	20430.17926	353.3864348	-7211.976352	8.277118442
86000	1623.940669	21951.70183	2.195170183	20422.90881	362.5159625	-7196.978854	8.280065053
87000	1585.524773	22132.32939	2.213232939	20439.25857	353.9402948	-7194.906965	8.273441668
88000	1540.332879	17668.84589	1.766884589	20412.52274	343.8520059	-7216.406274	8.284278024
89000	1589.061745	13598.21978	1.359821978	20487.40541	354.7298612	-7210.326669	8.253998499
90000	1509.372104	9739.092568	0.973909257	20531.00999	336.9405617	-7206.200161	8.236468326
91000	1630.732636	21144.30171	2.114430171	20398.72656	364.0321488	-7210.383247	8.289880891
92000	1646.304588	15353.2161	1.53532161	20511.95775	367.5083111	-7198.786685	8.244118654
93000	1591.966913	18889.82441	1.888982441	20429.40954	355.3783885	-7207.996157	8.277430298
94000	1565.576387	10942.83156	1.094283156	20527.12575	349.4871714	-7204.791189	8.238026872
95000	1606.590268	9365.457612	0.936545761	20545.53997	358.6427933	-7208.501847	8.230643429
96000	1598.159565	13279.05141	1.327905141	20526.31011	356.7607882	-7197.450483	8.23835422
97000	1621.191057	17726.99715	1.772699715	20465.83217	361.9021605	-7201.6395	8.262699122
98000	1571.92844	22217.53185	2.221753185	20356.56535	350.9051546	-7217.693783	8.30705036
99000	1655.681894	13288.53012	1.328853012	20481.52343	369.6016283	-7214.712298	8.25636892
100000	1569.118268	16724.61794	1.672461794	20449.67024	350.2778334	-7210.641732	8.269229358
100000	1569.118268	16724.61794	1.672461794	20449.67024	350.2778334	-7210.641732	8.269229358
